# FrenchMaster cards source (tab-separated)
## columns: id	french	english	partOfSpeech	grade	unit	gender	examUsage	tags	examples
# examples format: french=>english || french=>english

g10s1_01	bonjour	hello / good morning	phrase	G10S1	1		Formal greeting used in written and oral exams as opening.	greetings|basic	Bonjour, comment allez-vous ?=>Hello, how are you? || Bonjour à tous !=>Good morning everyone!
g10s2_48	se terminer	to end	verb	G10S2	2	pronominal	Used to describe the conclusion of events or activities.	verbs|time	Le match se termine à 20h.=>The match ends at 8pm. || La fête s'est terminée tard.=>The party ended late.
g10s2_49	traduire	to translate	verb	G10S2	3	irregular	Crucial for language learners and oral/written tasks.	verbs|language	Peux-tu traduire cette phrase ?=>Can you translate this sentence? || Il traduit un livre.=>He is translating a book.
g10s2_50	tout	all / everything	adjective/pronoun	G10S2	2	variable	Requires agreement when used as an adjective (tout, toute, tous, toutes).	general|grammar	J'ai fini tout mon travail.=>I finished all my work. || Tout est prêt.=>Everything is ready.
g10s2_51	sauf	except	preposition	G10S2	2		Used to indicate exclusions in lists or groups.	general|logic	Tout le monde est là, sauf Ali.=>Everyone is here, except Ali. || Je mange tout sauf la viande.=>I eat everything except meat.
g10s2_52	moderne	modern	adjective	G10S2	1		Used to describe architecture, technology, or ideas.	adjectives|city	C'est un lycée très moderne.=>It's a very modern high school. || Elle aime le style moderne.=>She likes the modern style.
g10s2_53	seulement	only	adverb	G10S2	2		Used to restrict quantities or limit options.	adverbs|quantity	J'ai seulement dix euros.=>I only have ten euros. || C'est seulement un enfant.=>He is only a child.
g10s2_54	par jour	per day	phrase	G10S2	2		Expression of frequency for routines.	time|frequency	Je mange trois fois par jour.=>I eat three times a day. || Il travaille huit heures par jour.=>He works eight hours a day.
g10s2_55	par semaine	per week	phrase	G10S2	2		Expression of frequency for sports and hobbies.	time|frequency	J'ai deux cours de sport par semaine.=>I have two sports classes per week. || Elle sort une fois par semaine.=>She goes out once a week.
g10s2_56	avoir besoin de...	to need	verb phrase	G10S2	2		Commonly used for requesting help or items.	verbs|daily-life	J'ai besoin de ton aide.=>I need your help. || Nous avons besoin de stylos.=>We need some pens.
g10s2_57	naviguer sur Internet	to browse the internet	verb phrase	G10S2	2		Technology vocabulary for hobbies and research.	verbs|tech	J'aime naviguer sur Internet.=>I like browsing the internet. || Il navigue sur Internet pour s'informer.=>He browses the internet to stay informed.
g10s2_58	surfer sur Internet	to surf the internet	verb phrase	G10S2	2		Synonym for navigating; very common in casual speech.	verbs|tech	Il surfe sur Internet pour ses devoirs.=>He surfs the internet for his homework. || On surfe souvent le soir.=>We often surf the net in the evening.
g10s2_59	le français	French language	noun	G10S2	1	masculine	Subject name; usually lower case unless starting a sentence.	school|languages	Le français est une belle langue.=>French is a beautiful language. || J'apprends le français.=>I am learning French.
g10s2_60	l'arabe (m)	Arabic language	noun	G10S2	1	masculine	Subject name; initial 'a' causes elision (l').	school|languages	J'étudie l'arabe au lycée.=>I study Arabic at high school. || L'arabe est ma langue préférée.=>Arabic is my favorite language.
g10s2_61	l'anglais (m)	English language	noun	G10S2	1	masculine	Universal language subject; requires 'l' due to vowel.	school|languages	Je parle un peu anglais.=>I speak a little English. || L'anglais est utile.=>English is useful.
g10s2_62	l'allemand (m)	German language	noun	G10S2	2	masculine	School subject; requires 'l' due to vowel.	school|languages	L'allemand est difficile.=>German is difficult. || Elle étudie l'allemand.=>She studies German.
g10s2_63	l'italien (m)	Italian language	noun	G10S2	2	masculine	School subject; requires 'l' due to vowel.	school|languages	Elle apprend l'italien.=>She is learning Italian. || L'italien est mélodieux.=>Italian is melodious.
g10s2_64	les mathématiques (maths)	mathematics	noun	G10S2	1	feminine plural	Often shortened to "les maths" in casual conversation.	school|subjects	Les maths sont intéressantes.=>Maths are interesting. || Je déteste les mathématiques.=>I hate mathematics.
g10s2_65	la géographie (géo)	geography	noun	G10S2	1	feminine	Often shortened to "la géo" by students.	school|subjects	En géo, on utilise des cartes.=>In geography, we use maps. || La géographie est passionnante.=>Geography is fascinating.
g10s2_66	la philosophie (philo)	philosophy	noun	G10S2	3	feminine	Specific to senior high school years in France.	school|subjects	La philo est une matière pour les seniors.=>Philo is a subject for seniors. || J'aime la philosophie.=>I love philosophy.
g10s2_67	la technologie (techno)	technology	noun	G10S2	2	feminine	Common subject in middle/high school (collège/lycée).	school|subjects	On va en salle de techno.=>We are going to the tech room. || La technologie change vite.=>Technology changes fast.
g10s2_68	l'histoire (f)	history	noun	G10S2	1	feminine	Required subject; often paired with geography (H-G).	school|subjects	Le prof d'histoire est génial.=>The history teacher is great. || L'histoire est importante.=>History is important.
g10s2_69	un mari / un époux	a husband / spouse	noun	G10S2	2	masculine	"Époux" is more formal; "mari" is more common.	people|family	C'est le mari de ma tante.=>It's my aunt's husband. || Mon époux est avocat.=>My husband is a lawyer.
g10s2_70	le chat	chat (online)	noun	G10S2	2	masculine	Refers to digital messaging, not the animal (same spelling).	tech|communication	Je fais un chat avec mes amis.=>I'm chatting with my friends. || Le chat est actif.=>The chat is active.
g10s2_71	le mal	the pain / ache	noun	G10S2	2	masculine	Used in expressions like "avoir mal à".	health|wellbeing	Le mal de tête est horrible.=>The headache is horrible. || Elle combat le mal.=>She fights the pain.
g10s2_72	un enfant	a child (m)	noun	G10S2	1	masculine	Gender changes to feminine (une enfant) for a girl.	people|family	C'est un enfant très calme.=>He is a very calm child. || L'enfant joue au parc.=>The child is playing at the park.
g10s2_73	un athlète	an athlete	noun	G10S2	2	masculine	Refers to a sportsman; feminine is "une athlète".	people|sports	C'est un athlète très rapide.=>He is a very fast athlete. || L'athlète gagne la course.=>The athlete wins the race.
g10s2_74	un membre	a member	noun	G10S2	2	masculine	Used for family members or club associations.	people|groups	Il est un membre de la famille.=>He is a family member. || Je suis membre du club.=>I am a member of the club.
g10s2_75	le physique	the physical appearance	noun	G10S2	2	masculine	Do not confuse with "la physique" (science).	identity|description	Il a un physique d'athlète.=>He has an athlete's physique. || Le physique n'est pas tout.=>Physical appearance isn't everything.
g10s2_76	les cheveux	the hair	noun	G10S2	1	masculine plural	Always plural when referring to the hair on someone's head.	body|identity	Il a les cheveux courts.=>He has short hair. || Mes cheveux sont bruns.=>My hair is brown.
g10s2_77	une famille	a family	noun	G10S2	1	feminine	Key vocabulary for introductions and personal descriptions.	people|family	Ma famille est très grande.=>My family is very large. || J'aime ma famille.=>I love my family.
g10s2_78	une femme / une épouse	a wife / spouse	noun	G10S2	1	feminine	"Femme" also means "woman"; context defines meaning.	people|family	C'est la femme de mon oncle.=>She is my uncle's wife. || C'est une femme forte.=>She is a strong woman.
g10s2_79	une partie	a part	noun	G10S2	2	feminine	Used for body parts or components of a whole.	general|description	C'est une partie du corps.=>It's a part of the body. || Quelle partie préfères-tu ?=>Which part do you prefer?
g10s2_80	la taille	the size / height	noun	G10S2	2	feminine	Used for height of people or clothing sizes.	identity|shopping	Quelle est ta taille ?=>What is your height/size? || Sa taille est moyenne.=>Her height is average.
g10s2_81	une description	a description	noun	G10S2	2	feminine	Common task instruction in writing exams.	school|communication	Fais une description de ton ami.=>Give a description of your friend. || La description est précise.=>The description is precise.
g10s2_82	une chanson	a song	noun	G10S2	1	feminine	Common in leisure and media-related topics.	interests|music	J'aime cette chanson.=>I like this song. || Chante une chanson.=>Sing a song.
g10s2_83	une enfant	a child (f)	noun	G10S2	1	feminine	Feminine form of child; identical pronunciation to male.	people|family	C'est une enfant intelligente.=>She is an intelligent child. || L'enfant sourit.=>The child smiles.
g10s2_84	une station de ski	a ski resort	noun	G10S2	3	feminine	Vocabulary for holidays and travel descriptions.	places|travel	On va à la station de ski en hiver.=>We go to the ski resort in winter. || La station est bondée.=>The resort is crowded.
g10s2_85	une douleur	a pain	noun	G10S2	2	feminine	More formal than "le mal"; used in medical contexts.	health|wellbeing	J'ai une douleur au bras.=>I have a pain in my arm. || La douleur est forte.=>The pain is strong.
g10s2_86	des lunettes	glasses	noun	G10S2	1	feminine plural	Always plural; used for describing appearance.	objects|identity	Je porte des lunettes noires.=>I wear black glasses. || Où sont mes lunettes ?=>Where are my glasses?
g10s2_87	porter	to wear	verb	G10S2	1	regular -er	Also means "to carry"; context defines "wearing" clothes.	verbs|clothing	Je porte un t-shirt bleu.=>I'm wearing a blue t-shirt. || Elle porte son sac.=>She is carrying her bag.
g10s2_88	toucher	to touch	verb	G10S2	1	regular -er	Basic verb for physical actions and senses.	verbs|body	Ne touche pas le tableau !=>Don't touch the board! || Je touche le chat.=>I touch the cat.
g10s2_89	écouter	to listen	verb	G10S2	1	regular -er	Common instruction in listening tests (compréhension orale).	verbs|leisure	Écoute bien la musique.=>Listen to the music carefully. || J'écoute le professeur.=>I listen to the teacher.
g10s2_90	se composer de	to consist of	verb phrase	G10S2	2	pronominal	Essential for describing family or group structures.	verbs|family	Ma famille se compose de cinq membres.=>My family consists of five members. || L'équipe se compose de dix joueurs.=>The team consists of ten players.
g10s2_91	sentir	to smell / to feel	verb	G10S2	2	irregular	Note: "sentir" = to smell; "se sentir" = to feel (emotion).	verbs|body	Je sens la fleur.=>I smell the flower. || Je me sens bien.=>I feel good.
g10s2_92	écrire	to write	verb	G10S2	2	irregular	Core verb for academic tasks and correspondence.	verbs|school	J'écris une lettre à mon ami.=>I'm writing a letter to my friend. || Écrivez votre nom.=>Write your name.
g10s2_93	musclé(e)	muscular	adjective	G10S2	2	agreement	Adds 'e' for feminine; used in physical descriptions.	adjectives|body	Il est très musclé car il fait du sport.=>He is very muscular because he does sports. || Elle est musclée.=>She is muscular.
g10s2_94	chauve	bald	adjective	G10S2	2		Does not change for feminine; used for physical descriptions.	adjectives|identity	Mon grand-père est chauve.=>My grandfather is bald. || Il devient chauve.=>He is going bald.
g10s2_95	unique	unique / only child	adjective	G10S2	2		"Fils unique" = only son; "fille unique" = only daughter.	adjectives|family	C'est un fils unique.=>He is an only son. || Elle est une fille unique.=>She is an only daughter.
g10s2_96	court(e)	short	adjective	G10S2	1	agreement	Refers to length (hair, sleeves, time); not height.	adjectives|description	Elle a les cheveux courts.=>She has short hair. || Le film est court.=>The movie is short.
g10s2_97	long(longue)	long	adjective	G10S2	1	irregular feminine	Note the irregular feminine spelling "longue".	adjectives|description	C'est un long voyage.=>It is a long trip. || Elle a une robe longue.=>She has a long dress.
g10s2_98	curieux(se)	curious	adjective	G10S2	2	variable	Personality trait; ending changes for feminine (-euse).	adjectives|personality	Il est curieux, il veut tout savoir.=>He is curious, he wants to know everything. || Elle est curieuse.=>She is curious.
g10s2_99	dynamique	dynamic / energetic	adjective	G10S2	1		Universal adjective for active people.	adjectives|personality	C'est un élève très dynamique.=>He is a very dynamic student. || L'équipe est dynamique.=>The team is dynamic.
g10s2_100	hyper grand	very tall	adjective phrase	G10S2	2		"Hyper" is informal French for "very" or "super".	adjectives|identity	Mon cousin est hyper grand.=>My cousin is super tall. || C'est un hyper grand bâtiment.=>It's a very tall building.
g10s2_101	avoir mal à	to have a pain in	verb phrase	G10S2	2		Followed by au/à la/aux depending on body part.	verbs|health	J'ai mal à la tête.=>I have a headache. || Il a mal aux dents.=>He has a toothache.
g10s2_102	les grands-parents	the grandparents	noun	G10S2	1	masculine plural	Note the hyphen; always plural in this context.	people|family	Je visite mes grands-parents le week-end.=>I visit my grandparents on weekends. || Mes grands-parents sont vieux.=>My grandparents are old.
g10s2_103	le grand-père	the grandfather	noun	G10S2	1	masculine	Essential family member vocabulary.	people|family	Mon grand-père a 70 ans.=>My grandfather is 70 years old. || Le grand-père raconte des histoires.=>The grandfather tells stories.
g10s2_104	la grand-mère	the grandmother	noun	G10S2	1	feminine	Essential family member vocabulary.	people|family	Ma grand-mère cuisine très bien.=>My grandmother cooks very well. || C'est ma grand-mère.=>It's my grandmother.
g10s2_105	les parents	the parents	noun	G10S2	1	masculine plural	Refers to mother and father together.	people|family	Mes parents sont professeurs.=>My parents are teachers. || J'écoute mes parents.=>I listen to my parents.
g10s2_106	le père	the father	noun	G10S2	1	masculine	Primary family vocabulary.	people|family	Mon père travaille au Caire.=>My father works in Cairo. || Le père est à la maison.=>The father is at home.
g10s2_107	la mère	the mother	noun	G10S2	1	feminine	Primary family vocabulary.	people|family	Ma mère est médecin.=>My mother is a doctor. || J'adore ma mère.=>I love my mother.
g10s2_108	le frère	the brother	noun	G10S2	1	masculine	Primary sibling vocabulary.	people|family	J'ai un petit frère.=>I have a little brother. || Mon frère est grand.=>My brother is tall.
g10s2_109	la sœur	the sister	noun	G10S2	1	feminine	Primary sibling vocabulary.	people|family	Ma sœur s'appelle Mona.=>My sister's name is Mona. || Elle a une sœur.=>She has a sister.
g10s2_110	le fils	the son	noun	G10S2	2	masculine	Note: final 's' is pronounced /fis/.	people|family	C'est le fils de mon voisin.=>He is my neighbor's son. || Mon fils est à l'école.=>My son is at school.
g10s2_111	la fille	the daughter / girl	noun	G10S2	1	feminine	Can mean daughter or girl depending on context.	people|family	C'est la fille du professeur.=>She is the teacher's daughter. || C'est une fille sympa.=>She is a nice girl.
g10s2_112	l'oncle	the uncle	noun	G10S2	1	masculine	Extended family vocabulary.	people|family	Mon oncle est pilote.=>My uncle is a pilot. || Je parle avec mon oncle.=>I am talking with my uncle.
g10s2_113	la tante	the aunt	noun	G10S2	1	feminine	Extended family vocabulary.	people|family	Ma tante habite à Paris.=>My aunt lives in Paris. || Ma tante est gentille.=>My aunt is kind.
g10s2_114	le cousin	the cousin (m)	noun	G10S2	1	masculine	Gender-specific for a male cousin.	people|family	Mon cousin est sympa.=>My cousin is nice. || J'ai un cousin en France.=>I have a cousin in France.
g10s2_115	la cousine	the cousin (f)	noun	G10S2	1	feminine	Gender-specific for a female cousin.	people|family	Ma cousine est au lycée.=>My cousin is in high school. || Ma cousine joue du piano.=>My cousin plays the piano.
g10s2_116	je vais	I go	verb	G10S2	1	irregular	First person singular of the verb "aller".	verbs|grammar	Je vais au lycée à pied.=>I go to high school on foot. || Je vais bien.=>I am doing well.
g10s2_117	tu vas	you go	verb	G10S2	1	irregular	Second person singular (informal) of "aller".	verbs|grammar	Où vas-tu ?=>Where are you going? || Tu vas au club ?=>Are you going to the club?
g10s2_118	il/elle/on va	he/she/one goes	verb	G10S2	1	irregular	Third person singular of "aller".	verbs|grammar	On va au club.=>We are going to the club. || Elle va à la gare.=>She is going to the station.
g10s2_119	nous allons	we go	verb	G10S2	1	irregular	First person plural of "aller".	verbs|grammar	Nous allons manger au restaurant.=>We are going to eat at the restaurant. || Nous allons en France.=>We are going to France.
g10s2_120	vous allez	you go (formal/plural)	verb	G10S2	1	irregular	Second person plural or formal singular of "aller".	verbs|grammar	Comment allez-vous ?=>How are you? || Vous allez à la piscine ?=>Are you going to the pool?
g10s2_121	ils/elles vont	they go	verb	G10S2	1	irregular	Third person plural of "aller".	verbs|grammar	Ils vont à la piscine.=>They are going to the pool. || Elles vont au cinéma.=>They (f) are going to the cinema.
g10s2_122	le nez	the nose	noun	G10S2	1	masculine	Basic body part vocabulary.	body|identity	Il a un petit nez.=>He has a small nose. || Le nez est rouge.=>The nose is red.
g10s2_123	le cou	the neck	noun	G10S2	1	masculine	Basic body part vocabulary.	body|identity	Je porte une écharpe sur le cou.=>I am wearing a scarf on my neck. || Il a le cou long.=>He has a long neck.
g10s2_124	le genou	the knee	noun	G10S2	1	masculine	Plural is irregular: "les genoux" (ends in 'x').	body|health	Il a mal au genou.=>He has a sore knee. || Pose tes mains sur les genoux.=>Put your hands on your knees.
g10s2_125	le coude	the elbow	noun	G10S2	2	masculine	Specific body part; often used in posture descriptions.	body|posture	Pose ton coude sur la table.=>Put your elbow on the table. || J'ai mal au coude.=>My elbow hurts.
g10s2_126	le bras	the arm	noun	G10S2	1	masculine	Spelled with 's' in singular; plural remains "les bras".	body|health	J'ai un bras cassé.=>I have a broken arm. || Il lève le bras.=>He raises his arm.
g10s2_127	le pied	the foot	noun	G10S2	1	masculine	Used in the expression "à pied" (on foot).	body|travel	Je vais au lycée à pied.=>I go to high school on foot. || Mon pied est blessé.=>My foot is injured.
g10s2_128	le ventre	the stomach / belly	noun	G10S2	1	masculine	Commonly used for stomach aches.	body|health	J'ai mal au ventre.=>I have a stomach ache. || Il a un gros ventre.=>He has a big belly.
g10s2_129	la langue	the tongue / language	noun	G10S2	1	feminine	Dual meaning (anatomical vs. linguistic).	body|languages	L'arabe est ma langue maternelle.=>Arabic is my mother tongue. || Tire la langue.=>Stick out your tongue.
g10s2_130	la main	the hand	noun	G10S2	1	feminine	Note: feminine despite ending in 'in'.	body|daily-life	Lave-toi les mains.=>Wash your hands. || Elle lève la main.=>She raises her hand.
g10s2_131	la jambe	the leg	noun	G10S2	1	feminine	Common body part vocabulary.	body|health	Elle a les jambes longues.=>She has long legs. || Ma jambe me fait mal.=>My leg hurts.
g10s2_132	l'estomac (m)	the stomach	noun	G10S2	2	masculine	More formal/anatomical than "ventre".	body|health	Mon estomac me fait mal.=>My stomach is hurting me. || L'estomac digère la nourriture.=>The stomach digests the food.
g10s2_133	l'épaule (f)	the shoulder	noun	G10S2	2	feminine	Used for describing posture or carrying bags.	body|posture	Il porte son sac sur l'épaule.=>He carries his bag on his shoulder. || J'ai une douleur à l'épaule.=>I have a shoulder pain.
g10s2_134	les yeux (m)	the eyes	noun	G10S2	1	masculine plural	Singular is "l'œil". Fundamental for descriptions.	body|identity	Il a les yeux verts.=>He has green eyes. || Ferme les yeux.=>Close your eyes.
g10s2_135	les dents (f)	the teeth	noun	G10S2	1	feminine plural	Essential for hygiene and health topics.	body|health	Je me brosse les dents.=>I'm brushing my teeth. || J'ai mal aux dents.=>I have a toothache.

g11s1_01	un quartier	a neighborhood	noun	G11S1	1	masculine	Used for describing city areas and living locations.	places|city	J'habite dans un quartier calme.=>I live in a quiet neighborhood. || Mon quartier est très animé.=>My neighborhood is very lively.
g11s1_02	un chemin	a path / way	noun	G11S1	1	masculine	Refers to a track or route, often for directions.	direction|travel	Suis ce chemin pour aller au parc.=>Follow this path to go to the park. || C'est le bon chemin ?=>Is this the right way?
g11s1_03	un passage piéton	a pedestrian crossing	noun	G11S1	2	masculine	Essential for vocabulary related to city safety and traffic.	city|safety	Traverse sur le passage piéton.=>Cross at the pedestrian crossing. || Il y a un passage piéton devant l'école.=>There is a pedestrian crossing in front of the school.
g11s1_04	un déguisement	a costume / disguise	noun	G11S1	2	masculine	Key term for parties, festivals, and theater topics.	party|leisure	J'ai un beau déguisement de pirate.=>I have a beautiful pirate costume. || Son déguisement est original.=>His costume is original.
g11s1_05	un piéton	a pedestrian	noun	G11S1	3	masculine	Used in the context of urban movement and road safety.	people|city	Le piéton marche sur le trottoir.=>The pedestrian walks on the sidewalk. || Attention aux piétons !=>Watch out for pedestrians!
g11s1_06	un passant	a passer-by	noun	G11S1	3	masculine	Commonly used in dialogue for asking directions.	people|city	Je demande le chemin à un passant.=>I ask a passer-by for the way. || Les passants regardent les vitrines.=>The passers-by look at the shop windows.
g11s1_07	un emplacement	a location / spot	noun	G11S1	4	masculine	Refers to a specific site or position for an object or building.	places|general	C'est un bon emplacement pour le café.=>It's a good location for the cafe. || Quel est l'emplacement du monument ?=>What is the location of the monument?
g11s1_08	un pont	a bridge	noun	G11S1	4	masculine	Common city infrastructure term for geography and directions.	city|places	Le pont traverse la rivière.=>The bridge crosses the river. || Le Pont Neuf est à Paris.=>The Pont Neuf is in Paris.
g11s1_09	un métier	a trade / profession	noun	G11S1	5	masculine	Essential for discussing career paths and jobs.	work|career	Quel est ton métier ?=>What is your profession? || C'est un métier difficile.=>It's a difficult trade.
g11s1_10	un travail	a job / work	noun	G11S1	5	masculine	Standard word for labor or employment. Plural is 'travaux'.	work|general	Il a beaucoup de travail aujourd'hui.=>He has a lot of work today. || Elle cherche un nouveau travail.=>She is looking for a new job.
g11s1_11	un souhait	a wish	noun	G11S1	6	masculine	Used for birthdays, celebrations, and personal goals.	general|feelings	Fais un souhait pour ton anniversaire.=>Make a wish for your birthday. || Mes meilleurs souhaits !=>My best wishes!
g11s1_12	un coureur	a runner	noun	G11S1	6	masculine	Often used in sports contexts and competitions.	sports|people	Le coureur est très rapide.=>The runner is very fast. || Il y a beaucoup de coureurs dans ce marathon.=>There are many runners in this marathon.
g11s1_13	un bâtiment	a building	noun	G11S1	7	masculine	General term for any constructed edifice.	places|city	Ce bâtiment est très moderne.=>This building is very modern. || C'est le plus vieux bâtiment de la ville.=>It's the oldest building in town.
g11s1_14	un café	a cafe	noun	G11S1	7	masculine	Social venue for eating and drinking.	places|food	On se retrouve au café à 10h.=>We meet at the cafe at 10 AM. || J'aime lire au café.=>I like reading at the cafe.
g11s1_15	un cinéma	a cinema	noun	G11S1	8	masculine	Standard leisure location for watching films.	places|leisure	Je vais au cinéma ce soir.=>I'm going to the cinema tonight. || Le cinéma est à côté du parc.=>The cinema is next to the park.
g11s1_16	un zoo	a zoo	noun	G11S1	8	masculine	Common destination for family outings.	places|animals	Les enfants adorent voir les lions au zoo.=>The children love seeing the lions at the zoo. || On va au zoo dimanche.=>We are going to the zoo on Sunday.
g11s1_17	un musée	a museum	noun	G11S1	9	masculine	Cultural location for art and history.	places|art	Le musée est fermé le lundi.=>The museum is closed on Mondays. || Nous visitons un musée d'histoire.=>We are visiting a history museum.
g11s1_18	un stade	a stadium	noun	G11S1	9	masculine	Venue for sports matches and large events.	places|sports	Le match de foot est au stade.=>The football match is at the stadium. || Le stade est plein de monde.=>The stadium is full of people.
g11s1_19	un parc	a park	noun	G11S1	10	masculine	Natural outdoor space in a city.	places|nature	Je me promène dans le parc.=>I am taking a walk in the park. || Jouons au ballon dans le parc.=>Let's play ball in the park.
g11s1_20	un gymnase	a gym	noun	G11S1	10	masculine	Specifically refers to a physical education hall or indoor sports court.	places|sports	On fait du sport au gymnase.=>We do sports at the gym. || Le gymnase est près du lycée.=>The gym is near the high school.
g11s1_21	un restaurant	a restaurant	noun	G11S1	11	masculine	Place where food is served.	places|food	C'est un restaurant italien.=>It's an Italian restaurant. || Je réserve une table au restaurant.=>I am booking a table at the restaurant.
g11s1_22	un hôpital	a hospital	noun	G11S1	11	masculine	Essential vocabulary for health topics.	places|health	L'hôpital est près de la pharmacie.=>The hospital is near the pharmacy. || Il travaille à l'hôpital.=>He works at the hospital.
g11s1_23	un port	a port / harbor	noun	G11S1	12	masculine	Location for boats and maritime travel.	places|travel	Le bateau arrive au port.=>The boat arrives at the port. || C'est un port de pêche.=>It's a fishing port.
g11s1_24	un plan	a map	noun	G11S1	12	masculine	Specifically a map of a city or building.	travel|city	Regarde le plan de la ville.=>Look at the city map. || As-tu le plan du quartier ?=>Do you have the neighborhood map?
g11s1_25	un feu tricolore	a traffic light	noun	G11S1	13	masculine	Crucial for giving driving or walking directions.	city|traffic	Arrête-toi au feu tricolore.=>Stop at the traffic light. || Tourne à gauche au feu tricolore.=>Turn left at the traffic light.
g11s1_26	un trottoir	a sidewalk	noun	G11S1	13	masculine	The path where pedestrians walk.	city|safety	Il ne faut pas rouler sur le trottoir.=>One must not ride on the sidewalk. || Le trottoir est étroit.=>The sidewalk is narrow.
g11s1_27	un rond-point	a roundabout	noun	G11S1	14	masculine	Common feature in European road design.	city|traffic	Tourne à droite au rond-point.=>Turn right at the roundabout. || Prenez la deuxième sortie au rond-point.=>Take the second exit at the roundabout.
g11s1_28	un panneau	a sign / signboard	noun	G11S1	14	masculine	Used for traffic signs or general notices.	city|traffic	Regarde le panneau de signalisation.=>Look at the traffic sign. || Le panneau indique la direction.=>The sign shows the direction.
g11s1_29	un vélo	a bicycle	noun	G11S1	15	masculine	Common mode of transport.	transport|leisure	Je vais au lycée à vélo.=>I go to high school by bike. || Mon vélo est cassé.=>My bike is broken.
g11s1_30	un scooter	a scooter	noun	G11S1	15	masculine	Refers to a motorized scooter/moped.	transport|modern	Il a un nouveau scooter.=>He has a new scooter. || Le scooter est très pratique en ville.=>The scooter is very practical in the city.
g11s1_31	un autobus (un bus)	a bus	noun	G11S1	16	masculine	Public transportation term.	transport|city	Je prends le bus pour aller en ville.=>I take the bus to go to town. || L'autobus s'arrête ici.=>The bus stops here.
g11s1_32	un thème	a theme / topic	noun	G11S1	16	masculine	Used for discussing school projects or events.	general|education	Quel est le thème de la fête ?=>What is the theme of the party? || Le thème du cours est la nature.=>The theme of the lesson is nature.
g11s1_33	un immeuble	a building / apartment block	noun	G11S1	17	masculine	Usually refers to a large residential building.	housing|city	J'habite dans un grand immeuble.=>I live in a large apartment building. || L'immeuble a dix étages.=>The building has ten floors.
g11s1_34	un itinéraire	an itinerary / route	noun	G11S1	17	masculine	Key for travel planning and directions.	travel|direction	Quel est l'itinéraire pour aller à la gare ?=>What is the route to the station? || Nous suivons un itinéraire précis.=>We are following a precise itinerary.
g11s1_35	un étage	a floor / story	noun	G11S1	18	masculine	Used for describing vertical levels in a building.	housing|city	Ma chambre est au premier étage.=>My room is on the first floor. || Il n'y a pas d'ascenseur pour cet étage.=>There is no elevator for this floor.
g11s1_36	un malade	a patient / sick person	noun	G11S1	18	masculine	Used in healthcare contexts. Feminine is 'une malade'.	people|health	Le médecin soigne le malade.=>The doctor treats the patient. || Le malade doit se reposer.=>The sick person must rest.
g11s1_37	une course	a race	noun	G11S1	19	feminine	Can also mean 'shopping' in plural (faire les courses).	sports|events	C'est une course de voitures.=>It's a car race. || Elle a gagné la course.=>She won the race.
g11s1_38	une voiture	a car	noun	G11S1	19	feminine	Primary term for an automobile.	transport|modern	Ma voiture est bleue.=>My car is blue. || Je lave la voiture.=>I am washing the car.
g11s1_39	une ville	a city	noun	G11S1	20	feminine	General term for a town or city.	places|general	Paris est une ville magnifique.=>Paris is a magnificent city. || J'aime vivre en ville.=>I love living in the city.
g11s1_40	une arrivée	an arrival	noun	G11S1	20	feminine	Used for travel or finishing lines in sports.	travel|sports	L'arrivée est prévue à midi.=>The arrival is scheduled for noon. || Nous attendons l'arrivée du train.=>We are waiting for the train's arrival.
g11s1_41	une banque	a bank	noun	G11S1	21	feminine	Financial institution.	places|city	Je vais à la banque pour changer de l'argent.=>I am going to the bank to change money. || La banque est fermée aujourd'hui.=>The bank is closed today.
g11s1_42	une place	a square / plaza	noun	G11S1	21	feminine	Also means 'a seat' or 'a place'.	places|city	On se retrouve sur la place du quartier.=>We meet at the neighborhood square. || Il y a une fontaine sur la place.=>There is a fountain on the square.
g11s1_43	une rue piétonne	a pedestrian street	noun	G11S1	22	feminine	A street reserved for people walking.	places|city	J'aime marcher dans la rue piétonne.=>I like walking in the pedestrian street. || Il y a beaucoup de magasins dans cette rue piétonne.=>There are many shops in this pedestrian street.
g11s1_44	une piscine	a swimming pool	noun	G11S1	22	feminine	Recreational or sports facility.	places|sports	La piscine est ouverte tout l'été.=>The pool is open all summer. || Je vais à la piscine pour nager.=>I go to the swimming pool to swim.
g11s1_45	une patinoire	an ice rink	noun	G11S1	23	feminine	Location for ice skating or hockey.	places|sports	Allons à la patinoire pour patiner !=>Let's go to the ice rink to skate! || La patinoire est très grande.=>The ice rink is very large.
g11s1_46	une gare	a train station	noun	G11S1	23	feminine	Crucial travel vocabulary.	places|travel	Le train arrive à la gare.=>The train is arriving at the station. || Où est la gare la plus proche ?=>Where is the nearest train station?
g11s1_47	une pharmacie	a pharmacy	noun	G11S1	24	feminine	Medical store.	places|health	J'achète des médicaments à la pharmacie.=>I buy medicine at the pharmacy. || La pharmacie est ouverte 24h/24.=>The pharmacy is open 24/7.
g11s1_48	une boulangerie	a bakery	noun	G11S1	24	feminine	Iconic French cultural venue.	places|food	Le boulanger travaille à la boulangerie.=>The baker works at the bakery. || J'achète du pain à la boulangerie.=>I buy bread at the bakery.
g11s1_49	une librairie	a bookstore	noun	G11S1	25	feminine	Note: Often confused with library (bibliothèque).	places|books	J'achète un livre à la librairie.=>I am buying a book at the bookstore. || La librairie vend aussi des magazines.=>The bookstore also sells magazines.
